"STATION","NAME","DATE","PRCP","SNWD","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-01","0.00",,"52","42"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-02","0.00",,"53","40"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-03","0.34",,"55","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-04","0.18",,"57","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-05","0.00",,"57","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-06","0.01",,"55","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-07","0.08",,"55","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-08","0.00",,"55","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-09","0.00",,"58","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-10","0.00",,"63","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-11","0.00",,"63","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-12","0.00",,"62","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-13","0.00",,"61","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-14","0.00",,"64","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-15","0.00",,"63","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-16","0.00",,"60","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-17","0.00",,"62","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-18","0.00",,"57","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-19","0.00",,"60","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-20","0.00",,"63","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-21","0.00",,"67","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-22","0.00",,"67","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-23","0.00",,"65","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-24","0.00",,"60","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-25","0.00",,"56","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-26","0.00",,"61","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-27","0.00",,"64","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-28","0.00",,"64","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-29","0.00",,"62","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-30","0.00","0.0","59","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-01-31","0.00",,"60","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-01","0.00",,"61","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-02","0.00",,"62","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-03","0.00",,"64","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-04","0.00",,"62","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-05","0.00",,"63","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-06","0.00",,"65","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-07","0.00",,"66","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-08","0.00",,"72","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-09","0.00",,"75","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-10","0.00",,"76","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-11","0.00",,"76","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-12","0.00",,"74","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-13","0.00",,"74","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-14","0.00","0.0","53","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-15","0.00","0.0","58","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-16","0.00",,"65","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-17","0.00",,"67","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-18","0.00",,"66","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-19","0.00",,"68","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-20","0.00",,"55","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-21","0.04",,"54","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-22","0.00",,"50","43"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-23","0.00",,"53","42"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-24","0.00",,"55","41"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-25","0.00",,"60","41"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-26","0.00",,"59","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-27","0.00",,"66","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-02-28","0.00",,"70","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-01","0.00","0.0","64","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-02","0.00","0.0","65","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-03","0.05","0.0","56","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-04","0.06","0.0","55","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-05","0.00","0.0","56","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-06","0.00","0.0","58","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-07","0.00","0.0","67","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-08","0.00","0.0","69","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-09","0.00","0.0","59","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-10","0.00","0.0","65","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-11","0.00","0.0","69","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-12","0.00","0.0","56","41"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-13","0.00","0.0","60","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-14","0.00","0.0","67","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-15","0.19","0.0","60","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-16","0.00","0.0","60","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-17","0.00","0.0","56","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-18","0.00","0.0","64","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-19","0.00","0.0","56","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-20","0.00","0.0","60","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-21","0.00","0.0","64","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-22","0.00","0.0","79","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2022-03-23","0.00","0.0","57","49"
